Fecha,Hora,Temperatura (°C),Humedad (%)
2025-10-19,15:54:39,26.8,44.5
2025-10-19,15:55:39,26.9,44.5
2025-10-19,15:56:40,27.3,44.5
2025-10-19,15:57:40,27.3,44.1
2025-10-19,15:58:41,27.2,44.3
2025-10-19,15:59:41,27.2,44.6
2025-10-19,16:00:41,27.2,43.3
2025-10-19,16:01:42,27.2,42.6
2025-10-19,16:02:42,27.1,42.7
2025-10-19,16:03:43,27.1,42.3
2025-10-19,16:04:43,27.1,43.6
2025-10-19,16:05:44,27.0,44.1
2025-10-19,16:06:44,27.4,44.1
2025-10-19,16:07:44,27.3,42.4
2025-10-19,16:08:44,27.6,40.9
2025-10-19,16:12:44,27.4,40.6
2025-10-19,16:13:44,27.4,40.8
2025-10-19,16:14:44,27.3,39.6
2025-10-19,16:15:47,27.2,39.5
2025-10-19,16:16:49,27.3,42.1
2025-10-19,16:17:49,27.2,40.2
2025-10-19,16:18:50,27.2,40.0
2025-10-19,16:23:22,27.5,43.5
2025-10-19,16:24:22,27.5,43.7
2025-10-19,16:25:25,27.6,43.5
2025-10-19,16:26:25,27.6,43.9
2025-10-19,16:27:25,27.6,41.9
2025-10-19,16:28:25,31.5,93.7
2025-10-19,16:29:27,33.7,92.1
2025-10-19,16:30:30,29.8,62.2
2025-10-19,16:31:30,29.1,46.1
2025-10-19,16:32:30,28.7,45.8
2025-10-19,16:33:30,28.3,42.4
2025-10-19,16:34:30,28.1,42.5
2025-10-19,16:35:30,27.9,42.9
2025-10-19,16:36:30,32.4,93.8
2025-10-19,16:37:32,30.2,79.2
2025-10-19,16:38:34,28.7,49.1
2025-10-19,16:39:34,28.2,47.6
2025-10-19,16:40:34,28.0,47.3
2025-10-19,16:41:35,27.9,47.2
2025-10-19,16:42:35,27.8,50.4
2025-10-19,16:43:35,27.8,52.5
2025-10-19,16:44:35,27.9,52.2
2025-10-19,16:45:35,27.9,47.9
2025-10-19,16:46:35,28.0,52.2
2025-10-19,16:47:35,28.0,49.6
2025-10-19,16:48:35,28.0,49.6
2025-10-19,16:49:35,27.9,50.9
2025-10-19,16:50:35,28.0,47.0
2025-10-19,16:51:35,28.0,50.0
2025-10-19,16:52:35,28.1,46.0
2025-10-19,16:53:35,28.1,48.8
2025-10-19,16:54:35,28.1,44.4
2025-10-19,16:55:35,28.1,47.7
2025-10-19,16:57:40,28.0,41.7
2025-10-19,16:58:40,27.9,41.5
2025-10-19,16:59:40,28.0,42.1
2025-10-19,17:00:40,28.0,41.2
2025-10-19,17:01:40,28.0,41.6
2025-10-19,17:02:40,28.1,42.2
2025-10-19,17:03:41,28.1,44.0
2025-10-19,17:04:41,28.1,43.1
2025-10-19,17:05:41,28.1,42.1
2025-10-19,17:06:41,28.2,43.9
2025-10-19,17:07:41,28.1,42.4
2025-10-19,17:08:41,28.2,44.2
2025-10-19,17:09:41,28.1,42.2
2025-10-19,17:10:41,28.0,43.8
2025-10-19,17:11:41,27.9,43.2
2025-10-19,17:12:41,27.9,44.5
2025-10-19,17:13:41,27.9,44.6
