Fecha,Hora,Temperatura (°C),Humedad (%)
2025-10-13,16:01:51,25.5,45.4
2025-10-13,16:01:53,25.5,45.4
2025-10-13,16:01:55,25.5,45.3
2025-10-13,16:01:57,25.5,45.3
2025-10-13,16:01:59,25.5,45.3
2025-10-13,16:02:01,25.5,45.3
2025-10-13,16:02:03,25.5,45.3
2025-10-13,16:02:05,25.5,45.3
2025-10-13,16:02:07,25.5,45.4
2025-10-13,16:02:09,25.5,45.4
2025-10-13,16:02:11,25.5,45.4
2025-10-13,16:02:13,25.5,45.4
2025-10-13,16:02:15,25.5,45.4
2025-10-13,16:02:17,25.5,45.4
2025-10-13,16:02:19,25.5,45.3
2025-10-13,16:02:21,25.5,45.3
2025-10-13,16:02:23,25.5,45.2
2025-10-13,16:05:30,25.6,45.6
2025-10-13,16:05:32,25.6,45.6
2025-10-13,16:05:34,25.6,45.7
2025-10-13,16:05:36,25.6,45.7
2025-10-13,16:05:38,25.6,45.6
2025-10-13,16:05:40,25.6,45.6
2025-10-13,16:05:42,25.6,45.5
2025-10-13,16:05:44,25.6,45.4
2025-10-13,16:05:46,25.6,45.4
2025-10-13,16:05:48,25.6,45.4
2025-10-13,16:05:50,25.6,45.4
2025-10-13,16:05:52,25.6,45.4
2025-10-13,16:05:54,25.6,45.4
2025-10-13,16:05:56,25.6,45.5
2025-10-13,16:05:58,25.6,45.4
2025-10-13,16:06:00,25.6,45.4
2025-10-13,16:06:02,25.6,45.6
2025-10-13,16:06:04,25.6,45.7
2025-10-13,16:06:06,25.6,45.8
2025-10-13,16:06:08,25.6,45.8
2025-10-13,16:06:10,25.6,45.9
2025-10-13,16:06:12,25.6,45.9
2025-10-13,16:06:14,25.6,45.9
2025-10-13,16:06:16,25.6,45.8
2025-10-13,16:06:18,25.6,45.7
2025-10-13,16:06:20,25.6,45.6
2025-10-13,16:06:22,25.6,45.6
2025-10-13,16:06:24,25.6,45.5
2025-10-13,16:06:26,25.6,45.6
2025-10-13,16:06:31,25.6,45.6
2025-10-13,16:06:32,25.6,45.6
2025-10-13,16:06:34,25.6,45.6
2025-10-13,16:06:36,25.6,45.7
2025-10-13,16:06:38,25.6,45.7
2025-10-13,16:06:40,25.6,45.7
2025-10-13,16:06:42,25.6,45.7
2025-10-13,16:06:44,25.6,45.8
2025-10-13,16:06:46,25.6,45.8
2025-10-13,16:06:48,25.6,45.7
2025-10-13,16:06:50,25.6,45.6
2025-10-13,16:06:52,25.6,45.5
2025-10-13,16:06:54,25.6,45.5
2025-10-13,16:06:56,25.6,45.6
2025-10-13,16:06:59,25.6,45.7
2025-10-13,16:07:00,25.6,45.7
2025-10-13,16:07:02,25.6,45.7
2025-10-13,16:07:04,25.6,45.7
2025-10-13,16:07:06,25.6,45.7
2025-10-13,16:07:08,25.6,45.8
2025-10-13,16:07:10,25.6,45.8
2025-10-13,16:07:12,25.6,45.9
2025-10-13,16:07:14,25.6,45.9
2025-10-13,16:07:16,25.6,45.9
2025-10-13,16:07:18,25.6,45.9
