Fecha,Hora,Temperatura (°C),Humedad (%)
2025-10-08,16:46:56,26.9,39.7
2025-10-08,16:46:58,26.9,39.7
2025-10-08,16:47:00,26.9,39.7
2025-10-08,16:47:02,26.9,39.7
2025-10-08,16:47:05,27.0,39.7
2025-10-08,16:47:07,27.0,39.8
2025-10-08,16:47:08,26.9,39.8
2025-10-08,16:47:10,27.0,39.8
2025-10-08,16:47:12,27.0,39.8
2025-10-08,16:47:15,26.9,39.8
2025-10-08,16:47:17,26.9,39.8
2025-10-08,16:47:19,26.9,39.8
2025-10-08,16:47:21,27.0,39.8
2025-10-08,16:47:23,26.9,39.8
2025-10-08,16:47:24,27.0,39.8
2025-10-08,16:47:27,26.9,39.8
2025-10-08,16:47:28,27.0,39.8
2025-10-08,16:47:30,26.9,39.7
2025-10-08,16:47:32,27.0,39.8
2025-10-08,16:47:34,27.0,39.7
2025-10-08,16:47:37,26.9,39.7
2025-10-08,16:47:39,26.9,39.7
2025-10-08,16:47:41,27.0,39.6
2025-10-08,16:47:43,27.0,39.6
2025-10-08,16:47:45,27.0,39.6
2025-10-08,16:47:47,26.9,39.5
2025-10-08,16:47:49,26.9,39.5
2025-10-08,16:47:51,26.9,39.4
2025-10-08,16:47:53,27.0,39.4
2025-10-08,16:47:55,27.0,39.3
2025-10-08,16:47:57,27.0,39.3
2025-10-08,16:47:59,26.9,39.2
2025-10-08,16:48:01,27.0,39.2
2025-10-08,16:48:03,27.0,39.0
2025-10-08,16:48:05,26.9,39.0
2025-10-08,16:48:07,26.9,39.0
2025-10-08,16:48:09,26.9,39.1
2025-10-08,16:48:11,27.0,39.1
2025-10-08,16:48:13,27.0,39.2
2025-10-08,16:48:15,27.0,39.2
2025-10-08,16:48:17,27.0,39.2
2025-10-08,16:48:19,26.9,39.3
2025-10-08,16:48:21,26.9,39.3
2025-10-08,16:48:23,26.9,39.2
2025-10-08,16:48:25,26.9,39.3
2025-10-08,16:48:27,27.0,39.3
2025-10-08,16:48:29,26.9,39.3
2025-10-08,16:48:31,26.9,39.3
2025-10-08,16:48:33,27.0,39.3
2025-10-08,16:48:43,27.0,39.3
2025-10-08,16:49:43,27.0,39.3
2025-10-08,16:53:26,27.0,41.4
2025-10-08,16:53:28,27.1,41.5
2025-10-08,16:53:30,27.0,41.5
2025-10-08,16:53:33,27.1,41.5
2025-10-08,16:53:35,27.0,41.5
2025-10-08,16:53:36,27.0,41.5
2025-10-08,16:53:39,27.0,41.4
2025-10-08,16:53:41,27.0,41.4
2025-10-08,16:53:43,27.1,41.4
2025-10-08,16:53:45,27.1,41.4
2025-10-08,16:53:47,27.1,41.5
2025-10-08,16:53:49,27.1,41.4
2025-10-08,16:53:51,27.1,41.4
2025-10-08,16:53:53,27.1,41.4
2025-10-08,16:53:55,27.1,41.4
2025-10-08,16:53:57,27.1,41.3
2025-10-08,16:53:59,27.1,41.3
2025-10-08,16:54:01,27.0,41.3
2025-10-08,16:54:03,27.0,41.3
2025-10-08,16:54:05,27.1,41.3
2025-10-08,16:54:07,27.1,41.3
2025-10-08,16:54:09,27.1,41.3
2025-10-08,16:54:11,27.0,41.3
2025-10-08,16:54:13,27.1,41.2
2025-10-08,16:54:15,27.1,41.2
2025-10-08,16:54:16,27.1,41.1
2025-10-08,16:54:29,27.1,41.0
2025-10-08,16:54:31,27.1,41.0
2025-10-08,16:54:32,27.1,40.9
2025-10-08,16:54:33,27.1,41.0
2025-10-08,16:54:35,27.1,41.0
2025-10-08,16:54:36,27.1,41.0
2025-10-08,16:54:38,27.1,41.0
2025-10-08,16:54:40,27.1,41.0
2025-10-08,16:54:42,27.1,41.0
2025-10-08,16:54:44,27.1,41.0
2025-10-08,16:54:46,27.1,40.9
2025-10-08,16:54:48,27.1,40.9
2025-10-08,16:54:50,27.1,40.9
2025-10-08,16:54:52,27.1,40.8
2025-10-08,16:54:54,27.1,40.8
2025-10-08,16:54:56,27.1,40.7
2025-10-08,16:54:58,27.1,40.7
2025-10-08,16:55:00,27.1,40.6
2025-10-08,16:55:02,27.1,40.6
2025-10-08,16:55:04,27.1,40.5
2025-10-08,16:55:06,27.1,40.5
2025-10-08,16:55:08,27.1,40.6
2025-10-08,16:55:10,27.1,40.6
2025-10-08,16:55:12,27.1,40.5
2025-10-08,16:55:14,27.1,40.4
2025-10-08,16:55:16,27.1,40.3
2025-10-08,16:55:20,27.1,40.2
2025-10-08,16:55:36,27.1,40.0
2025-10-08,16:55:38,27.1,40.0
2025-10-08,16:55:40,27.1,40.0
2025-10-08,16:55:42,27.1,40.0
2025-10-08,16:55:44,27.1,40.0
2025-10-08,16:55:46,27.1,40.1
2025-10-08,16:55:48,27.1,40.1
2025-10-08,16:55:50,27.1,40.1
2025-10-08,16:55:52,27.1,40.1
2025-10-08,16:55:54,27.1,40.1
2025-10-08,16:55:56,27.1,40.1
2025-10-08,16:55:58,27.1,40.1
2025-10-08,16:56:00,27.1,40.1
2025-10-08,16:56:02,27.1,40.1
2025-10-08,16:56:06,27.1,40.2
2025-10-08,16:56:08,27.1,40.2
2025-10-08,16:56:10,27.1,40.3
2025-10-08,16:56:12,27.1,40.2
2025-10-08,16:56:14,27.1,40.3
2025-10-08,16:56:16,27.1,40.2
2025-10-08,16:56:18,27.1,40.1
2025-10-08,16:56:20,27.1,40.1
2025-10-08,16:56:22,27.1,40.0
2025-10-08,16:56:24,27.1,40.0
2025-10-08,16:56:26,27.1,40.0
2025-10-08,16:56:28,27.0,39.9
2025-10-08,16:56:30,27.1,39.9
2025-10-08,16:56:32,27.1,39.8
2025-10-08,16:56:34,27.1,39.7
2025-10-08,16:56:36,27.1,39.7
2025-10-08,16:56:43,27.1,39.6
2025-10-08,16:56:43,27.1,39.5
2025-10-08,16:57:43,27.1,39.6
2025-10-08,16:57:43,27.1,39.5
2025-10-08,16:59:01,27.0,39.4
2025-10-08,16:59:03,27.1,39.4
2025-10-08,16:59:05,27.1,39.4
2025-10-08,16:59:07,27.1,39.4
2025-10-08,16:59:09,27.0,39.4
2025-10-08,16:59:12,27.1,39.4
2025-10-08,16:59:22,27.1,39.4
2025-10-08,16:59:24,27.1,39.4
2025-10-08,16:59:26,27.0,39.4
2025-10-08,16:59:28,27.0,39.5
2025-10-08,16:59:29,27.0,39.5
2025-10-08,16:59:30,27.0,39.4
2025-10-08,16:59:32,27.0,39.4
2025-10-08,16:59:34,27.1,39.3
2025-10-08,16:59:36,27.1,39.2
2025-10-08,16:59:38,27.1,39.2
2025-10-08,17:36:00,26.9,40.1
2025-10-08,17:36:02,26.9,40.2
2025-10-08,17:36:04,26.9,40.2
2025-10-08,17:36:06,26.9,40.3
2025-10-08,17:36:08,26.9,40.4
2025-10-08,17:36:10,26.9,40.5
2025-10-08,17:36:18,26.9,40.7
2025-10-08,17:36:20,26.9,40.7
2025-10-08,17:36:22,26.9,40.7
2025-10-08,17:36:23,26.9,40.7
2025-10-08,17:36:24,26.9,40.7
2025-10-08,17:36:25,27.0,40.8
2025-10-08,17:36:26,26.9,40.9
2025-10-08,17:36:28,27.0,40.9
2025-10-08,17:36:32,26.9,41.0
