Fecha,Hora,Temperatura (°C),Humedad (%)
2025-10-20,00:00:04,22.0,45.8
2025-10-20,00:02:09,21.9,46.4
2025-10-20,00:03:10,21.9,46.0
2025-10-20,00:04:10,21.9,46.0
2025-10-20,00:05:10,21.9,46.3
2025-10-20,00:06:11,21.9,46.1
2025-10-20,09:30:16,19.1,49.6
2025-10-20,09:31:45,19.3,48.6
2025-10-20,09:32:45,19.5,48.3
2025-10-20,09:33:45,19.6,47.7
2025-10-20,09:34:45,19.8,47.7
2025-10-20,09:35:45,19.9,47.7
2025-10-20,09:36:45,20.0,47.8
2025-10-20,09:37:45,20.0,47.5
2025-10-20,09:38:45,19.9,47.4
2025-10-20,09:39:45,19.8,47.8
2025-10-20,09:40:45,19.7,47.7
2025-10-20,09:41:45,19.7,47.6
2025-10-20,09:42:45,19.7,47.9
2025-10-20,09:43:45,19.8,48.0
2025-10-20,09:44:46,19.9,47.5
2025-10-20,09:45:46,20.0,47.3
2025-10-20,09:46:46,20.2,47.1
2025-10-20,09:47:46,20.2,46.6
2025-10-20,09:48:46,20.3,46.6
2025-10-20,09:49:46,20.3,46.2
2025-10-20,09:50:46,20.3,46.4
2025-10-20,09:51:46,20.4,46.0
2025-10-20,09:52:46,20.5,45.9
2025-10-20,09:53:46,20.5,46.1
2025-10-20,09:54:46,20.5,46.0
2025-10-20,09:55:46,20.5,46.0
2025-10-20,09:56:46,20.5,46.3
2025-10-20,09:57:46,20.5,46.2
2025-10-20,09:58:46,20.6,46.6
2025-10-20,09:59:46,20.6,46.3
2025-10-20,10:00:47,20.7,46.6
2025-10-20,10:01:47,20.8,46.5
2025-10-20,10:02:47,20.9,46.1
2025-10-20,10:03:47,20.9,45.9
2025-10-20,10:04:47,21.0,45.9
2025-10-20,10:05:47,21.0,45.8
2025-10-20,10:06:47,21.0,46.1
2025-10-20,10:07:47,20.9,46.8
2025-10-20,10:08:47,20.8,46.4
2025-10-20,10:09:47,20.8,46.3
2025-10-20,10:10:47,20.8,46.5
2025-10-20,10:11:47,20.8,46.5
2025-10-20,10:12:47,20.9,46.4
2025-10-20,10:13:47,20.9,46.4
2025-10-20,10:14:47,20.9,46.1
2025-10-20,10:15:47,20.9,46.3
2025-10-20,10:16:47,21.0,46.6
2025-10-20,10:17:47,21.1,46.6
2025-10-20,10:18:47,21.1,46.6
2025-10-20,10:19:47,21.2,46.5
2025-10-20,10:20:48,21.2,46.5
2025-10-20,10:21:48,21.3,46.1
2025-10-20,10:22:48,21.3,45.9
2025-10-20,10:23:48,21.3,45.9
2025-10-20,10:24:48,21.3,45.8
2025-10-20,10:25:49,21.3,45.9
2025-10-20,10:26:49,21.3,45.9
2025-10-20,10:27:49,21.3,45.8
2025-10-20,10:28:49,21.4,45.7
