timestamp,temperatura,humedad
2025-10-08 15:40:37,26.7,43.0
2025-10-08 15:40:39,26.7,42.9
2025-10-08 15:40:41,26.7,42.9
2025-10-08 15:40:43,26.7,42.9
2025-10-08 15:40:43,26.7,42.8
2025-10-08 15:40:46,26.7,42.8
2025-10-08 15:40:48,26.7,42.8
2025-10-08 15:40:50,26.7,42.8
2025-10-08 15:40:52,26.7,42.8
2025-10-08 15:40:53,26.7,42.8
2025-10-08 15:40:54,26.7,42.8
2025-10-08 15:40:55,26.7,42.9
2025-10-08 15:40:56,26.7,42.9
2025-10-08 15:40:57,26.7,43.0
2025-10-08 15:40:58,26.7,43.0
2025-10-08 15:40:59,26.7,43.0
2025-10-08 15:41:00,26.7,43.1
2025-10-08 15:41:01,26.7,43.1
2025-10-08 15:41:02,26.7,43.1
2025-10-08 15:41:03,26.7,43.1
2025-10-08 15:41:05,26.7,43.1
2025-10-08 15:41:07,26.7,43.1
2025-10-08 15:41:09,26.7,43.1
2025-10-08 15:41:11,26.7,43.2
2025-10-08 15:41:13,26.7,43.2
2025-10-08 15:41:15,26.7,43.2
2025-10-08 15:41:17,26.7,43.2
2025-10-08 15:41:31,26.7,43.3
2025-10-08 15:41:33,26.7,43.3
2025-10-08 15:41:35,26.7,43.4
2025-10-08 15:41:38,26.7,43.4
2025-10-08 15:41:39,26.7,43.4
2025-10-08 15:41:41,26.7,43.4
2025-10-08 15:41:43,26.7,43.4
2025-10-08 15:41:46,26.7,43.4
2025-10-08 15:41:48,26.6,43.4
2025-10-08 15:41:50,26.7,43.4
2025-10-08 15:41:52,26.7,43.5
2025-10-08 15:41:54,26.7,43.5
2025-10-08 15:41:55,26.7,43.5
2025-10-08 15:41:57,26.7,43.4
2025-10-08 15:41:59,26.7,43.4
2025-10-08 15:42:01,26.7,45.2
2025-10-08 15:42:03,26.7,53.6
2025-10-08 15:42:05,26.7,61.9
2025-10-08 15:42:07,26.8,68.6
2025-10-08 15:42:09,26.8,73.5
2025-10-08 15:42:12,26.9,77.2
2025-10-08 15:42:14,27.0,80.1
2025-10-08 15:42:16,27.1,82.3
2025-10-08 15:42:18,27.2,84.0
2025-10-08 15:42:20,27.3,85.3
2025-10-08 15:42:22,27.4,86.6
2025-10-08 15:42:24,27.6,87.3
2025-10-08 15:42:26,27.7,87.7
2025-10-08 15:42:28,27.7,87.8
2025-10-08 15:42:30,27.8,87.4
2025-10-08 15:42:32,27.8,86.0
2025-10-08 15:42:34,27.7,82.0
2025-10-08 15:42:36,27.8,74.8
2025-10-08 15:42:38,27.8,67.9
2025-10-08 15:42:40,27.8,62.0
2025-10-08 15:42:42,27.8,57.5
2025-10-08 15:42:44,27.9,54.3
2025-10-08 15:42:46,27.9,52.0
